CTD,20130709ODF
# REPORTED CAST DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
NUMBER_HEADERS = 11
EXPOCODE = 318M20130321
SECT_ID = P02W
STNNBR = 35
CASTNO = 1
DATE = 20130415
TIME = 0212
LATITUDE =  30.0001
LONGITUDE =  147.7915
DEPTH =  6173
INSTRUMENT_ID = 914
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,TRANSM,TRANSM_FLAG_W,FLUORM,FLUORM_FLAG_W,CTDNOBS,CTDETIME
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,,
    296.0,2,  16.5364,2,  34.6756,2,    209.7,2,   4.4528,1,    0.004,1,       48,   1051.8
    298.0,2,  16.5334,2,  34.6796,2,    210.6,2,   4.4528,1,    0.004,1,       57,   1054.0
    300.0,2,  16.5506,2,  34.6872,2,    212.0,2,   4.4527,1,    0.004,1,       48,   1056.2
    302.0,2,  16.5398,2,  34.6882,2,    214.6,2,   4.4522,1,    0.004,1,       48,   1058.2
    304.0,2,  16.5236,2,  34.6870,2,    216.3,2,   4.4522,1,    0.004,1,       36,   1060.0
    306.0,2,  16.5096,2,  34.6854,2,    217.2,2,   4.4521,1,    0.004,1,       48,   1061.8
    308.0,2,  16.4933,2,  34.6848,2,    217.4,2,   4.4522,1,    0.004,1,       48,   1063.8
    310.0,2,  16.4754,2,  34.6832,2,    217.3,2,   4.4522,1,    0.004,1,       48,   1065.8
    312.0,2,  16.4633,2,  34.6817,2,    217.1,2,   4.4520,1,    0.004,1,       60,   1068.0
    314.0,2,  16.4288,2,  34.6772,2,    217.4,2,   4.4525,1,    0.004,1,       47,   1070.2
    316.0,2,  16.3921,2,  34.6729,2,    216.9,2,   4.4522,1,    0.004,1,       48,   1072.2
    318.0,2,  16.3713,2,  34.6699,2,    215.7,2,   4.4524,1,    0.004,1,       36,   1074.0
    320.0,2,  16.3275,2,  34.6654,2,    214.9,2,   4.4520,1,    0.004,1,       47,   1075.8
    322.0,2,  16.3133,2,  34.6640,2,    213.4,2,   4.4523,1,    0.004,1,       60,   1078.0
    324.0,2,  16.2685,2,  34.6570,2,    212.6,2,   4.4524,1,    0.004,1,       35,   1080.0
    326.0,2,  16.1564,2,  34.6430,2,    211.1,2,   4.4527,1,    0.004,1,       60,   1082.0
    328.0,2,  16.0795,2,  34.6343,2,    207.1,2,   4.4522,1,    0.004,1,       59,   1084.5
    330.0,2,  16.0686,2,  34.6335,2,    204.4,2,   4.4528,1,    0.004,1,       24,   1086.2
    332.0,2,  16.0615,2,  34.6329,2,    202.9,2,   4.4530,1,    0.004,1,       48,   1087.8
    334.0,2,  16.0161,2,  34.6271,2,    201.5,2,   4.4529,1,    0.004,1,       60,   1090.0
    336.0,2,  15.9559,2,  34.6202,2,    199.9,2,   4.4530,1,    0.004,1,       47,   1092.2
    338.0,2,  15.9061,2,  34.6172,2,    198.3,2,   4.4526,1,    0.004,1,       35,   1094.0
    340.0,2,  15.8466,2,  34.6144,2,    197.3,2,   4.4527,1,    0.004,1,       60,   1096.0
    342.0,2,  15.8249,2,  34.6138,2,    196.5,2,   4.4529,1,    0.004,1,       47,   1098.3
    344.0,2,  15.8029,2,  34.6124,2,    196.2,2,   4.4530,1,    0.004,1,       47,   1100.2
    346.0,2,  15.7563,2,  34.6092,2,    196.1,2,   4.4528,1,    0.004,1,       35,   1102.0
    348.0,2,  15.7088,2,  34.6066,2,    195.7,2,   4.4529,1,    0.004,1,       48,   1103.8
    350.0,2,  15.6660,2,  34.6043,2,    194.8,2,   4.4531,1,    0.004,1,       60,   1106.0
    352.0,2,  15.6314,2,  34.6032,2,    194.3,2,   4.4529,1,    0.004,1,       48,   1108.2
    354.0,2,  15.6201,2,  34.6026,2,    194.4,2,   4.4529,1,    0.004,1,       46,   1110.2
    356.0,2,  15.5691,2,  34.5968,2,    194.7,2,   4.4528,1,    0.004,1,       48,   1112.2
    358.0,2,  15.4973,2,  34.5926,2,    194.2,2,   4.4527,1,    0.004,1,       47,   1114.2
    360.0,2,  15.3986,2,  34.5833,2,    193.9,2,   4.4527,1,    0.004,1,       48,   1116.2
    362.0,2,  15.3452,2,  34.5808,2,    192.9,2,   4.4527,1,    0.004,1,       48,   1118.2
    364.0,2,  15.2802,2,  34.5763,2,    191.9,2,   4.4530,1,    0.004,1,       47,   1120.3
    366.0,2,  15.2332,2,  34.5746,2,    191.4,2,   4.4529,1,    0.004,1,       47,   1122.2
